Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Slominski P.; Trauner F.,"Slominski, Peter (6506699230); Trauner, Florian (35173582200)",6506699230; 35173582200,How do Member States Return Unwanted Migrants? The Strategic (non-)use of ‘Europe’ during the Migration Crisis,2018,Journal of Common Market Studies,56,1,,101,118,17,59,10.1111/jcms.12621,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031086827&doi=10.1111%2fjcms.12621&partnerID=40&md5=65108e6700273a5a995a6d0791705936,"This article analyzes how Member States have used the opportunities and avoided the constraints of the EU's multilevel governance architecture to return unwanted migrants. Drawing on sociological approaches to the EU and a broad understanding of return policies, we investigate the ways in which the northern Member States, notably Germany and Austria, have increasingly relied upon the EU's operational and financial resources to achieve their goal of pursuing a bold return policy. A key ‘usage’ of Europe has been the pooling of political and financial power to externalize and informalize its return policy. At the same time, the northern Member States' deliberate – yet widely under-researched – ‘non-use’ of Europe, such as using and maximizing national leeway, has been an equally important strategy to reduce migratory pressure and achieve higher return rates. © 2017 University Association for Contemporary European Studies and John Wiley & Sons Ltd",European Union; migration crisis; return policy; strategic action,,Article,Final,,Scopus,2-s2.0-85031086827
Batarfi R.; Jaber M.Y.; Aljazzar S.M.,"Batarfi, Raaid (57190276689); Jaber, Mohamad Y. (57203764536); Aljazzar, Salem M. (57192297378)",57190276689; 57203764536; 57192297378,A profit maximization for a reverse logistics dual-channel supply chain with a return policy,2017,Computers and Industrial Engineering,106,,,58,82,24,87,10.1016/j.cie.2017.01.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012107831&doi=10.1016%2fj.cie.2017.01.024&partnerID=40&md5=5efdec4d20fb02710e928a7360a01f57,"In the last few decades, the rapid development of e-commerce technologies has encouraged many manufacturers to adopt an online channel in addition to their existing traditional retail channel, which resulted in redesigning their supply chain channel structure. Additionally, an increasing number of manufacturers nowadays offer a return policy to attract more customers and to stay competitive. This paper studies a supply chain system, which is comprised of production, refurbishing, collection, and waste disposal processes. A return policy in which customers can return the purchased item for a refund is also considered. Two selling strategies, a single-channel strategy (i.e., a retail channel) and a dual-channel (i.e., a retail channel and an online channel) strategy are discussed from which mathematical models are developed. The purpose is to examine the effect of different return policies on the behavior of SC systems before and after adopting the dual-channel. In both strategies, the paper analyzes the change in the profit, the pricing and inventory decisions. Numerical examples and sensitivity analyses are provided with their results discussed. The findings of this paper demonstrate that in both strategies, the more generous the return policy is, the higher the demand, the selling prices and the overall profit. The findings also indicate that adopting a dual-channel strategy is more profitable to the supply chain. © 2017 Elsevier Ltd",Customization; Dual-channel; Refurbish; Return policy; Reverse logistics; Supply chain,Chains; Costs; Logistics; Manufacture; Numerical methods; Profitability; Sensitivity analysis; Supply chains; Waste disposal; Customization; Dual channel; Refurbish; Return policy; Reverse logistics; Sales,Article,Final,,Scopus,2-s2.0-85012107831
Confente I.; Russo I.; Frankel R.,"Confente, Ilenia (56743286500); Russo, Ivan (18435271000); Frankel, Robert (8446502100)",56743286500; 18435271000; 8446502100,"Understanding the Impact of Return Policy Leniency on Consumer Purchase, Repurchase, and Return Intentions: A Comparison Between Online and Offline Contexts: An Abstract",2018,Developments in Marketing Science: Proceedings of the Academy of Marketing Science,,,,19,20,1,1,10.1007/978-3-319-68750-6_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046030676&doi=10.1007%2f978-3-319-68750-6_4&partnerID=40&md5=443eaaf79ac40232ab8e8aee720ad21c,"The importance of return policy in gaining competitive advantage is particularly important, as it represents to consumers an important indicator of the level of service of a firm and a key signal that might help them to reduce the perceived risk when deciding to buy a product. This has gained more and more importance with the advent of the online channel and ongoing digitalization (Verhoef et al. 2015) which has led retailers to face omnichannel-based management. © 2018, Springer International Publishing AG.",,,Book chapter,Final,,Scopus,2-s2.0-85046030676
Gelbrich K.; Gäthke J.; Hübner A.,"Gelbrich, Katja (34872047400); Gäthke, Jana (56483196500); Hübner, Alexander (39261771600)",34872047400; 56483196500; 39261771600,Rewarding customers who keep a product: How reinforcement affects customers' product return decision in online retailing,2017,Psychology and Marketing,34,9,,853,867,14,25,10.1002/mar.21027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027328427&doi=10.1002%2fmar.21027&partnerID=40&md5=2ace785f9d89127ce8c7defc9c884d07,"A lenient product return policy represents the status quo of current return management practice in online retailing because it increases customers' order tendency. However, at the same time, many customers tend to return products under this policy, which incurs considerable costs for retailers. The present research introduces a keep reward (i.e., providing incentives to keep a product) as a new promotion strategy to improve the conventional lenient policy. Drawing on operant conditioning, the authors propose and test the reinforcing effect of a keep reward on customers' keep decision, compared to the conventional lenient policy. Results of a qualitative pilot study suggest that a keep reward is generally feasible in online retailing practice, especially in the low- to mid-price segment and with rewards that are linked to future purchases. Two experimental studies verify the positive effect of a keep reward. Study 1 shows that it substantially increases keep intention compared to a conventional lenient policy. Study 2 shows that the effect on keep intention is moderated by customers' online shopping frequency, and this moderating effect is mediated by repurchase intention. In particular, the keep reward is most effective among frequent shoppers because they are more inclined to repurchase and thus, benefit from the reward. In summary, both studies support the keep reward as a valuable add-on to the conventional lenient policy because order intention remains comparably high, while keep intention is higher. Theoretical implications and recommendations for online retailers on how to implement a keep reward in different industries are discussed. © 2017 Wiley Periodicals, Inc.",online retailing; operant conditioning; product returns; return policies; rewards,,Article,Final,,Scopus,2-s2.0-85027328427
Chen B.; Chen J.,"Chen, Bintong (7408608849); Chen, Jing (36665922400)",7408608849; 36665922400,Compete in Price or Service?—A Study of Personalized Pricing and Money Back Guarantees,2017,Journal of Retailing,93,2,,154,171,17,57,10.1016/j.jretai.2016.12.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009785708&doi=10.1016%2fj.jretai.2016.12.005&partnerID=40&md5=fd253a2ca135600066df367170c7fefa,"Retailers use both pricing and service strategies to respond to intensified competition. Here we develop a duopoly model to investigate the impact of the increasingly popular personalized pricing strategy (PPS) and the widely used Money Back Guarantee (MBG) customer returns policy. We consider two retailers who differ in customer satisfaction rates. Each retailer chooses a pricing strategy, PPS or uniform pricing, and a product return strategy, MBG or ‘no returns.’ We show that both PPS and MBG are dominant strategies, but their impact on retailers’ prices and profits are different; while PPS intensifies price competition and may lead to a prisoner's dilemma in which both retailers may lose profit, MBG mitigates price competition and may result in a Pareto improvement in both retailers’ profits. Both PPS and MBG increase the size of the overall market, but not the total duopoly profit. The total customer surplus and social welfare may increase under either strategy. In addition, we obtain some interesting observations as to how our results may change if the product quality/customer satisfaction rate is endogenously chosen in the duopoly. Some of our findings are in contrast to related results reported in the literature. © 2016 New York University",Customer returns; Duopoly; Game theory; Pricing,,Article,Final,,Scopus,2-s2.0-85009785708
Schrotenboer A.H.; Wruck S.; Roodbergen K.J.; Veenstra M.; Dijkstra A.S.,"Schrotenboer, Albert H. (57190299865); Wruck, Susanne (55862885400); Roodbergen, Kees Jan (6506018019); Veenstra, Marjolein (57188554816); Dijkstra, Arjan S. (56581529900)",57190299865; 55862885400; 6506018019; 57188554816; 56581529900,Order picker routing with product returns and interaction delays,2017,International Journal of Production Research,55,21,,6394,6406,12,35,10.1080/00207543.2016.1206982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979026666&doi=10.1080%2f00207543.2016.1206982&partnerID=40&md5=08853abc9b087b468b865016b4ddc2d8,"E-commerce companies often use manual order-picking systems in their warehouses since these systems can provide the required flexibility and scalability. Manual systems have been widely studied, but the operating policies may require significant changes for e-commerce settings. First, to maintain consumers’ loyalty, it is important to maintain delivery reliability even on the busiest days. When the number of order pickers in an area increases, however, more delays due to interactions may occur. For example, travel speed may need to be lowered when order pickers pass each other in narrow aisles. Second, many products sold through e-commerce are returned by consumers. Before these returned products can be sold again, they must be reintegrated in the stock. This paper presents hybrid genetic algorithms to determine routes for simultaneous pickup of products in response to consumers’ orders and delivery of returned products to storage locations. Furthermore, interactions between the order pickers are considered in the routing decisions. The developed algorithms use specific warehouse problem characteristics. We identify the mix of pickups and deliveries to realise the highest savings in practice. It is shown that order-picker interactions can be a significant cause for delay and should be accounted for in the routing. © 2016 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",genetic algorithms; order-picker interaction; pickup and delivery problem; routing; warehousing systems,Commerce; Electronic commerce; Genetic algorithms; Pickups; Delivery reliability; Hybrid genetic algorithms; Operating policies; Order pickers; Order-picking systems; Pickup and delivery problems; routing; Warehousing systems; Warehouses,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-84979026666
Reyes S.; Jeampiere A.; Castro S.; Fernanda R.,"Reyes, Silva (57203466277); Jeampiere, Alfredo (57203466325); Castro, Salas (57203466285); Fernanda, Rosa (57203466284)",57203466277; 57203466325; 57203466285; 57203466284,Application of lean techniques to reduce preparation times: Case study of a Peruvian plastic company,2017,International Journal of Applied Engineering Research,12,23,,13541,13551,10,8,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051835924&partnerID=40&md5=3b0f9d40380ff4915d4176974325cbf6,"This article examines the problem of an increase in product returns for a company that produces plastic films for flexible packaging. Among the factors that have resulted in the increase of returned products are defects in the films caused by the poor manipulation of materials and, above all, the hard point in the coils caused by excessive extruder preparation time, causing the extrusion head to overheat as well as uneven extrusion. Extrusion is a key process in the production of plastic materials as it transforms polypropylene and additives into plastic sheets. The delay in the preparation time caused by machine operators leads to the overheating of the extrusion head and, therefore, defective products that are ultimately returned to the company by customers. In order to confront this problem, a proposal was developed using the SMED tool of Lean Manufacturing in order to reduce the preparation time of the extruder and to increase the productivity of the company. For the validation of the proposal, we simulated the system to determine the resulting reduction in extruder preparation time. © Research India Publications.",Extrusion; Lean manufacturing; Preparation time; Productivity; Simulation; SMED,,Article,Final,,Scopus,2-s2.0-85051835924
Mahindroo A.; Samalia H.V.; Verma P.,"Mahindroo, Ankit (57200826039); Samalia, Harsh Vardhan (57193532578); Verma, Piyush (57035559400)",57200826039; 57193532578; 57035559400,Moderated influence of return frequency and resource commitment on information systems and reverse logistics strategic performance,2018,International Journal of Productivity and Performance Management,67,3,,550,570,20,11,10.1108/IJPPM-05-2016-0101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042509903&doi=10.1108%2fIJPPM-05-2016-0101&partnerID=40&md5=3cacd496fcb33feed74f94741ab90fb8,"Purpose: Reverse logistics (RL) is a strategic instrument across industries. The rapid evolution of online marketplaces has led to frequent product returns with variations across diversified businesses. These marketplaces have caused potential losses due to fraudulent returns, hence requiring a commitment of resources to RL. With information systems (IS) playing a role in improved supply chain performance, the purpose of this paper is to analyse the impact of a conceptualized IS framework on achieving RL strategic outcomes, under the individual moderating influence of resource commitment (RC) and return frequency. Design/methodology/approach: Data have been collected through a questionnaire from top to middle management executives managing the supply chain, logistics and IS. Moderated regression analysis was conducted on the collected sample using Hayes’ (2013) process modeling. Findings: The study depicts that IS capability, IS for logistics, IS partnership quality and IS for value addition lead to RL strategic benefits. Also, return frequency and RC act as relatively strong moderators with a negative impact. When analyzed for the individual IS constructs, RC has a stronger moderating impact than return frequency. Practical implications: The IS usage framework can be used effectively by practitioners for enhancing strategic RL performances depending on variations in committed resources and return frequency for individual industries. Originality/value: The study proposes an IS usage framework for achieving enhanced RL strategic outcomes and emphasizes on the moderating role played by RC and return frequency for producing the results. © 2018, Emerald Publishing Limited.",Information systems; Moderation; Resource commitment; Return frequency; Reverse logistics; Strategic performance,,Article,Final,,Scopus,2-s2.0-85042509903
"Carballo-Diéguez A.; Balán I.C.; Brown W., III; Giguere R.; Dolezal C.; Leu C.-S.; Marzinke M.A.; Hendrix C.W.; Piper J.M.; Richardson B.A.; Grossman C.; Johnson S.; Gomez K.; Horn S.; Kunjara Na Ayudhya R.P.; Patterson K.; Jacobson C.; Bekker L.-G.; Chariyalertsak S.; Chitwarakorn A.; Gonzales P.; Holtz T.H.; Liu A.; Mayer K.H.; Zorrilla C.; Lama J.; McGowan I.; Cranston R.D.","Carballo-Diéguez, Alex (57203544832); Balán, Ivan C. (6602761936); Brown, William (57201923633); Giguere, Rebecca (35098560800); Dolezal, Curtis (7003423338); Leu, Cheng-Shiun (7005086484); Marzinke, Mark A. (25823249700); Hendrix, Craig W. (57226252489); Piper, Jeanna M. (7201698837); Richardson, Barbra A. (55568516574); Grossman, Cynthia (7005141158); Johnson, Sherri (56517342800); Gomez, Kailazarid (18133478100); Horn, Stephanie (55647774900); Kunjara Na Ayudhya, Ratiya Pamela (36932068500); Patterson, Karen (57139809900); Jacobson, Cindy (37101769300); Bekker, Linda-Gail (7003924915); Chariyalertsak, Suwat (6701823706); Chitwarakorn, Anupong (6602674248); Gonzales, Pedro (55813490900); Holtz, Timothy H. (7003423035); Liu, Albert (37031463000); Mayer, Kenneth H. (7201681809); Zorrilla, Carmen (7004557685); Lama, Javier (16935809700); McGowan, Ian (57210177995); Cranston, Ross D. (7004106404)",57203544832; 6602761936; 57201923633; 35098560800; 7003423338; 7005086484; 25823249700; 57226252489; 7201698837; 55568516574; 7005141158; 56517342800; 18133478100; 55647774900; 36932068500; 57139809900; 37101769300; 7003924915; 6701823706; 6602674248; 55813490900; 7003423035; 37031463000; 7201681809; 7004557685; 16935809700; 57210177995; 7004106404,High levels of adherence to a rectal microbicide gel and to oral Pre-Exposure Prophylaxis (PrEP) achieved in MTN-017 among men who have sex with men (MSM) and transgender women,2017,PLoS ONE,12,7,e0181607,,,,22,10.1371/journal.pone.0181607,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026543507&doi=10.1371%2fjournal.pone.0181607&partnerID=40&md5=258c90b8a9a50ddd600c198bdac45465,"Trials to assess microbicide safety require strict adherence to prescribed regimens. If adherence is suboptimal, safety cannot be adequately assessed. MTN-017 was a phase 2, randomized sequence, open-label, expanded safety and acceptability crossover study comparing 1) daily oral emtricitabine/tenofovir disoproxil fumarate (FTC/TDF), 2) daily use of reduced-glycerin 1% tenofovir (RG-TFV) gel applied rectally, and 3) RG-TFV gel applied before and after receptive anal intercourse (RAI)—if participants had no RAI in a week, they were asked to use two doses of gel within 24 hours. Product use was assessed by mixed methods including unused product return count, text messaging reports, and qualitative plasma TFV pharmacokinetic (PK) results. Convergence interviews engaged participants in determining the most accurate number of doses used based on product count and text messaging reports. Client-centered adherence counseling was also used. Participants (N = 187) were men who have sex with men and transgender women enrolled in the United States (42%), Thailand (29%), Peru (19%) and South Africa (10%). Mean age was 31.4 years (range 18–64 years). Based on convergence interviews, over an 8-week period, 94% of participants had ≥80% adherence to daily tablet, 41% having perfect adherence; 83% had ≥80% adherence to daily gel, 29% having perfect adherence; and 93% had ≥80% adherence to twice-weekly use during the RAI-associated gel regimen, 75% having perfect adherence and 77% having ≥80% adherence to gel use before and after RAI. Only 4.4% of all daily product PK results were undetectable and unexpected (TFV concentrations <0.31 ng/mL) given self-reported product use near sampling date. The mixed methods adherence measurement indicated high adherence to product use in all three regimens. Adherence to RAI-associated rectal gel use was as high as adherence to daily oral PrEP. A rectal microbicide gel, if efficacious, could be an alternative for individuals uninterested in daily oral PrEP. © 2017, Public Library of Science. All rights reserved. This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication.",,"Administration, Oral; Administration, Rectal; Adolescent; Adult; Anti-HIV Agents; Cross-Over Studies; Emtricitabine; Female; Gels; HIV Infections; Homosexuality, Male; Humans; Male; Medication Adherence; Middle Aged; Pre-Exposure Prophylaxis; Tenofovir; Transgender Persons; Young Adult; emtricitabine plus tenofovir disoproxil; glycerol; microbicide; tenofovir; anti human immunodeficiency virus agent; emtricitabine; gel; tenofovir; adult; age; Article; controlled study; crossover procedure; drug efficacy; drug safety; female; gel; homosexuality; human; interview; major clinical study; male; men who have sex with men; open study; patient compliance; patient counseling; Peru; phase 2 clinical trial; plasma concentration-time curve; pre-exposure prophylaxis; qualitative analysis; South Africa; text messaging; Thailand; transgender; treatment duration; United States; adolescent; clinical trial; gel; HIV Infections; male homosexuality; medication compliance; middle aged; multicenter study; oral drug administration; pre-exposure prophylaxis; randomized controlled trial; rectal drug administration; transgender; young adult",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85026543507
Bottani E.; Montanari R.; Rinaldi M.,"Bottani, E. (14035135900); Montanari, R. (35612760700); Rinaldi, M. (56120839300)",14035135900; 35612760700; 56120839300,A flexible tool for warehouse design and picking optimization,2017,Proceedings of the Summer School Francesco Turco,2017-September,,,348,354,6,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040440315&partnerID=40&md5=f1ebd8a83c9bcc4e6e29560edb9a4799,"This paper describes the development of a software tool, programmed in Visual Basic for Applications-Microsoft ExcelTM, to support the design of a new warehouse, e.g.To decide on the number of aisles or cross-Aisles as a function of the (expected) order size before the new warehouse is built. The software tool was designed to be flexible enough to reproduce the geometry of any warehouse as a function of its main parameters, i.e. number of blocks, number of cross-Aisles, shape factor and total storage capacity. In the same tool, different routing policies have been embodied, including the traditional heuristic strategies (S-shape, return, largest gap and aisle-by-Aisle), as well as an ""advanced"" return policy that allows exploiting the cross-Aisles where available. The chosen context of analysis of these policies is that of manual, picker-To-parts, order picker systems. The effectiveness of the tool developed has been tested on a sample warehouse, of fixed storage capacity, where the software was used to compute the travel distance of the picker as a function of the routing policy, shape factors, number of aisles, number of cross-Aisles and size of the order picking list. The best policy, i.e. The policy that returned the shortest path, was identified for each warehouse configuration investigated. Besides supporting the design a new warehouse, the proposed software tool is expected to be useful also to test the performance of an existing warehouse and to substantiate operational decisions, e.g. The choice of the routing policy to be implemented.",Routing.; Software Tool; Travel Distance; Warehouse Design,,Conference paper,Final,,Scopus,2-s2.0-85040440315
Shang G.; Ghosh B.P.; Galbreth M.R.,"Shang, Guangzhi (55886834400); Ghosh, Bikram P. (15848159800); Galbreth, Michael R. (8696070600)",55886834400; 15848159800; 8696070600,Optimal Retail Return Policies with Wardrobing,2017,Production and Operations Management,26,7,,1315,1332,17,49,10.1111/poms.12690,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013382577&doi=10.1111%2fpoms.12690&partnerID=40&md5=5652622ecb960f28ce8d57f639a338fd,"Many retailers offer refunds to consumers who, after a trial period, return a product that they find does not fit their needs. Some consumers are willing to use this return option opportunistically for short-term consumption rather than its intended purpose of resolving fit uncertainty. Such behavior has been termed “wardrobing.” Restocking fees (partial refunds) can be used to combat wardrobing. However, there is a trade-off involved, since partial refunds will be viewed negatively by consumers who return an item due to a true lack of fit. In this study, we consider how the extent of wardrobing (how many consumers consider such behavior) and the benefit of wardrobing (how much value can be extracted during the trial) impact firm pricing decisions and profits in this retail context. Our results imply that an increase in the extent of wardrobing is most detrimental to profits when the current extent of wardrobing is low. On the contrary, if the extent of wardrobing is already very high, and the benefit of wardrobing to consumers is also high, the retailer can set prices and refunds such that additional wardrobing actually increases firm profits. In a model extension, we show how a retailer can effectively screen wardrobers from ordinary consumers by offering a menu of price/refund pairs, and that such an approach can lead to increased profits if the extent of wardrobing is sufficiently high. Overall, our findings provide new insights into how retailers can set prices and refund policies to effectively manage opportunistic behavior by consumers. © 2017 Production and Operations Management Society",consumer returns; opportunistic behavior; retail operations; wardrobing,,Article,Final,,Scopus,2-s2.0-85013382577
de Souza V.; Borsato M.; Bloemhof J.,"de Souza, Vitor (57143850000); Borsato, Milton (57144086700); Bloemhof, Jacqueline (6602637314)",57143850000; 57144086700; 6602637314,Designing eco-effective reverse logistics networks,2017,Journal of Industrial Integration and Management,2,1,1750003,,,,8,10.1142/S2424862217500038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086409182&doi=10.1142%2fS2424862217500038&partnerID=40&md5=417932c0fccff3cbc05abed73fe7532c,"Reverse Logistics Networks (RLNs) have grown in importance after return policies became compulsory. Lately, questions have been raised whether they effectively decrease environmental impact: efforts to optimize the eco-efficiency of RLNs through minimizing costs and emissions were deployed, but results are not advancing with the necessary speed. Alternatively, the eco-effectiveness (""doing the right thing"" for the environment) approach emerges, promoting a supportive relationship, balancing environment and economy. This research aims to model the design (or redesign) process of eco-effective RLNs. There are numerous ecodesign tools focusing on product or service design, but an eco-effective design process conceived specifically for logistics design purposes is yet to be delivered. Research was carried out using the Design Science Research Methodology and an exemplification for the Poultry Industry was outlined to demonstrate how the process unrolls. The model was conceived using a combination of Upcycling, Industrial Symbiosis, TRIZ rationale and Collaboration for Sustainability. The proposed design process model will help the conception of more innovative, eco-effective logistics networks. © World Scientific Publishing Co.",Industrial ecology; Material flow; Reverse logistics network design; TRIZ; Upcycle,,Article,Final,,Scopus,2-s2.0-85086409182
Lee D.H.,"Lee, Dong Hwan (55698972000)",55698972000,Structured Abstract: Who Returns It and Who Keeps It? An Empirical Investigation of Contrasting Consumer Profiles,2017,Developments in Marketing Science: Proceedings of the Academy of Marketing Science,,,,965,969,4,0,10.1007/978-3-319-45596-9_179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125180758&doi=10.1007%2f978-3-319-45596-9_179&partnerID=40&md5=10631287d49372fbae3dc1231b6d14ea,"When consumers experience post-purchase dissonance (PPD), most consumers keep their product (keepers), whereas some take their product back to the seller (returners). © 2017, Academy of Marketing Science.",Behavioral Trait; Customer Relationship Management; Household Income; Product Return; Purchase Decision,,Book chapter,Final,,Scopus,2-s2.0-85125180758
Pandey J.; Sadh A.; Billore A.,"Pandey, Jyoti (57465846600); Sadh, Ashish (55097207600); Billore, Aditya (56525284000)",57465846600; 55097207600; 56525284000,Need for Touch: A Barrier in Online Shopping—Identifying Compensatory Factors in an Online Context,2017,Developments in Marketing Science: Proceedings of the Academy of Marketing Science,,,,1349,1357,8,1,10.1007/978-3-319-45596-9_247,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054280283&doi=10.1007%2f978-3-319-45596-9_247&partnerID=40&md5=46235606a5f04f9aaee6e5ae1c73c5ac,"Touch is one of the five senses, which plays an important role in the evaluation of product and purchase decision. This chapter tries to see how need for touch is a barrier in an online shopping context, where it is not feasible to touch a product. This study tried to identify two factors, return policy and e-tailer’s image which may act as a compensatory mechanism for inability to touch a product during online shopping. Through this study, we proposed that need for touch moderates the relationship between these factors and consumer response. The study tries to propose the role of return policy and e-tailer’s image as a compensatory mechanism for inability to touch a product while shopping online. Potential contributions and directions for future research have been discussed in detail. © 2017, Academy of Marketing Science.",Brand image; E-tailer’s image; Need for touch; Online shopping; Return policy,,Book chapter,Final,,Scopus,2-s2.0-85054280283
Zailani S.; Govindan K.; Shaharudin M.R.; Kuan E.E.L.,"Zailani, Suhaiza (55891414700); Govindan, Kannan (54986334000); Shaharudin, Mohd Rizaimy (55141963700); Kuan, Elisa Eg Lay (57191866092)",55891414700; 54986334000; 55141963700; 57191866092,Barriers to product return management in automotive manufacturing firms in Malaysia,2017,Journal of Cleaner Production,141,,,22,40,18,29,10.1016/j.jclepro.2016.08.160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994285359&doi=10.1016%2fj.jclepro.2016.08.160&partnerID=40&md5=229f4306f2ae71f69bd62adb943d81a4,"The increasing of global warming and depletion of natural resources has become a concern for society, government and industry. There is a growing importance on recovery of used materials and products amongst industry players. The Malaysian government has conducted many green campaigns and provided incentives for some green practices; however, the adoption of product return and recovery management is still low amongst automotive manufacturers. Therefore, it is important to understand the obstacles towards product return adoption so that the countermeasures can be thought of to overcome this situation. The objective of this paper is to investigate the barriers of product return management amongst automotive manufacturing firms in Malaysia. A total of 228 automotive manufacturers and assemblers were identified as the sampling frame, which was selected based on the census sampling method due to the limited sample size of the study. The data was analysed using the Partial Least Squares (PLS) with the measurement model had shown sufficient model fit and the structural model revealed that the data supported the hypothesised model. The large effect size and higher than zero values of the predictive capabilities imply that the model has sufficient variance explained for the predictive capability of the hypotheses testing of the study. Based on the results, this study has found that the resource barrier has a significant effect on the level of adoption of product returns. Specifically, the resource barrier and the extent of the manufacturing return adoption were positively related (β = 0.361, p < 0.01), resource barrier and the extent of the distribution returns (β = 0.252, p < 0.05), and resource barrier and the extent of the customer returns (β = 0.333, p < 0.01). The result reflects that automotive manufacturers have a lack of resources to afford the product return implementation; as a matter of fact, high initial investments in terms of finances, human resources, and time are required for the product return adoption. Other variables of the study, such as the attitudinal and perception barrier, information barrier, and technical barrier, were found to be insignificant with the adoption of product return management. As a conclusion, this study discovered that the resource barrier was the major obstacle that impeded the automotive manufacturers in Malaysia from adopting the product return management. The outcome is expected to help policy makers, manufacturers as well as stakeholders in setting appropriate policies and strategies to improve the product return and recovery management adoption. © 2016 Elsevier Ltd",Attitudinal and perception barriers; Information barrier; Product returns; Resource barrier; Technical barrier,Global warming; Least squares approximations; Recovery; Information barrier; Perception barriers; Product returns; Resource barrier; Technical barriers; Manufacture,Article,Final,,Scopus,2-s2.0-84994285359
Ene S.; Öztürk N.,"Ene, Seval (48461146800); Öztürk, Nursel (7005688805)",48461146800; 7005688805,Grey modelling based forecasting system for return flow of end-of-life vehicles,2017,Technological Forecasting and Social Change,115,,,155,166,11,57,10.1016/j.techfore.2016.09.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991210354&doi=10.1016%2fj.techfore.2016.09.030&partnerID=40&md5=ecd324f5b4430e3405721a23e6bcf5ea,"Due to legislation and economic reasons, firms in most industries are forced to be responsible and manage their products at the end of their lives. Management of product returns is critical for the stability and profitability of a reverse supply chain. Forecasting the return amounts and timing is beneficial. The purpose of this paper is to develop a forecasting system for discarded end-of-life vehicles and to predict the number of end-of-life vehicles that will be generated in the future. To create the forecasting system, grey system theory, which uses a small amount of the most recent data, is employed. The accuracy of the grey model is improved with parameter optimization, Fourier series and Markov chain correction. The proposed models are applied to the case of Turkey and data sets of twelve regions in Turkey are considered. The obtained results show that the proposed forecasting system can successfully govern the phenomena of the data sets, and high accuracy can be provided for each region in Turkey. The proposed forecasting system can be used as a strategic tool in similar forecasting problems, and supportive guidance can be achieved. © 2016 Elsevier Inc.",End-of-life vehicles; Forecasting; Grey modelling; Product returns,Turkey; Fourier series; Markov processes; Supply chains; System theory; Vehicles; End-of-Life Vehicles; Forecasting problems; Forecasting system; Grey system theory; Parameter optimization; Product returns; Reverse supply chains; Strategic tool; flow modeling; forecasting method; Fourier transform; Markov chain; optimization; profitability; Forecasting,Article,Final,,Scopus,2-s2.0-84991210354
Sifaleras A.; Konstantaras I.,"Sifaleras, Angelo (6504457336); Konstantaras, Ioannis (12752026300)",6504457336; 12752026300,Variable neighborhood descent heuristic for solving reverse logistics multi-item dynamic lot-sizing problems,2017,Computers and Operations Research,78,,,385,392,7,40,10.1016/j.cor.2015.10.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960896172&doi=10.1016%2fj.cor.2015.10.004&partnerID=40&md5=fb6ec8801bfd084cd5b1d1e7df4bd236,"The multi-product dynamic lot sizing problem with product returns and recovery is an important problem that appears in reverse logistics and is known to be NP-hard. In this paper we propose an efficient variable neighborhood descent heuristic algorithm for solving this problem. Furthermore, we present a new benchmark set with the largest instances in the literature. The computational results demonstrate that our approach outperforms the state-of-the-art Gurobi optimizer. © 2015 Elsevier Ltd",Inventory; Lot Sizing; Mathematical Programming; Reverse Logistics; Variable Neighborhood Search,Heuristic algorithms; Logistics; Mathematical programming; Optimization; Algorithm for solving; Computational results; Dynamic lot-sizing; Inventory; Lot sizing; Reverse logistics; Variable neighborhood descents; Variable neighborhood search; Problem solving,Article,Final,,Scopus,2-s2.0-84960896172
